Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.115,0.001,0.09%,06 Oct 2020
1.114,0.009,0.81%,05 Oct 2020
1.105,-0.002,-0.18%,02 Oct 2020
1.107,0.000,0.00%,01 Oct 2020
1.107,0.001,0.09%,30 Sep 2020
1.106,-0.006,-0.54%,29 Sep 2020
1.112,0.018,1.65%,28 Sep 2020
1.094,-0.001,-0.09%,25 Sep 2020
1.095,-0.009,-0.82%,24 Sep 2020
1.104,0.003,0.27%,23 Sep 2020
1.101,0.001,0.09%,22 Sep 2020
1.1,-0.022,-1.96%,21 Sep 2020
1.122,-0.003,-0.27%,18 Sep 2020
1.125,-0.008,-0.71%,17 Sep 2020
1.133,0.001,0.09%,16 Sep 2020
1.132,0.007,0.62%,15 Sep 2020
1.125,0.003,0.27%,14 Sep 2020
1.122,0.001,0.09%,11 Sep 2020
1.121,-0.003,-0.27%,10 Sep 2020
1.124,0.016,1.44%,09 Sep 2020
1.108,-0.010,-0.89%,08 Sep 2020
1.118,0.017,1.54%,07 Sep 2020
1.101,-0.016,-1.43%,04 Sep 2020
1.117,-0.014,-1.24%,03 Sep 2020
1.131,0.015,1.34%,02 Sep 2020
1.116,-0.005,-0.45%,01 Sep 2020
1.121,-0.006,-0.53%,31 Aug 2020
1.127,-0.007,-0.62%,28 Aug 2020
1.134,-0.004,-0.35%,27 Aug 2020
1.138,0.003,0.26%,26 Aug 2020
1.135,-0.002,-0.18%,25 Aug 2020
1.137,0.011,0.98%,24 Aug 2020
1.126,-0.001,-0.09%,21 Aug 2020
1.127,-0.011,-0.97%,20 Aug 2020
1.138,0.006,0.53%,19 Aug 2020
1.132,-0.004,-0.35%,18 Aug 2020
1.136,0.004,0.35%,17 Aug 2020
1.132,-0.009,-0.79%,14 Aug 2020
1.141,-0.008,-0.70%,13 Aug 2020
1.149,0.013,1.14%,12 Aug 2020
1.136,0.008,0.71%,11 Aug 2020
1.128,0.003,0.27%,10 Aug 2020
1.125,0.003,0.27%,07 Aug 2020
1.122,-0.006,-0.53%,06 Aug 2020
1.128,0.002,0.18%,05 Aug 2020
1.126,-0.002,-0.18%,04 Aug 2020
1.128,0.017,1.53%,03 Aug 2020
1.111,-0.008,-0.71%,31 Jul 2020
1.119,-0.017,-1.50%,30 Jul 2020
1.136,0.004,0.35%,29 Jul 2020
1.132,-0.001,-0.09%,28 Jul 2020
1.133,0.007,0.62%,27 Jul 2020
1.126,-0.012,-1.05%,24 Jul 2020
1.138,0.002,0.18%,23 Jul 2020
1.136,-0.004,-0.35%,22 Jul 2020
1.14,0.004,0.35%,21 Jul 2020
1.136,0.001,0.09%,20 Jul 2020
1.135,0.008,0.71%,17 Jul 2020
1.127,-0.005,-0.44%,16 Jul 2020
1.132,0.012,1.07%,15 Jul 2020
1.12,-0.007,-0.62%,14 Jul 2020
1.127,0.015,1.35%,13 Jul 2020
1.112,0.008,0.72%,10 Jul 2020
1.104,-0.008,-0.72%,09 Jul 2020
1.112,-0.005,-0.45%,08 Jul 2020
1.117,-0.007,-0.62%,07 Jul 2020
1.124,0.016,1.44%,06 Jul 2020
1.108,-0.008,-0.72%,03 Jul 2020
1.116,0.013,1.18%,02 Jul 2020
1.103,-0.001,-0.09%,01 Jul 2020
1.104,0.004,0.36%,30 Jun 2020
1.1,0.003,0.27%,29 Jun 2020
1.097,0.000,0.00%,26 Jun 2020
1.097,0.004,0.37%,25 Jun 2020
1.093,-0.025,-2.24%,24 Jun 2020
1.118,0.011,0.99%,23 Jun 2020
1.107,-0.007,-0.63%,22 Jun 2020
1.114,0.010,0.91%,19 Jun 2020
1.104,-0.005,-0.45%,18 Jun 2020
1.109,0.006,0.54%,17 Jun 2020
1.103,0.027,2.51%,16 Jun 2020
1.076,-0.006,-0.55%,15 Jun 2020
1.082,-0.003,-0.28%,12 Jun 2020
1.085,-0.031,-2.78%,11 Jun 2020
1.116,-0.001,-0.09%,10 Jun 2020
1.117,-0.005,-0.45%,09 Jun 2020
1.122,-0.006,-0.53%,08 Jun 2020
1.128,0.016,1.44%,05 Jun 2020
1.112,-0.005,-0.45%,04 Jun 2020
1.117,0.025,2.29%,03 Jun 2020
1.092,0.004,0.37%,02 Jun 2020
1.088,0.006,0.55%,01 Jun 2020
1.082,-0.011,-1.01%,29 May 2020
1.093,0.019,1.77%,28 May 2020
1.074,0.005,0.47%,27 May 2020
1.069,0.016,1.52%,26 May 2020
1.053,0.000,0.00%,22 May 2020
1.053,-0.009,-0.85%,21 May 2020
1.062,0.007,0.66%,20 May 2020
1.055,-0.005,-0.47%,19 May 2020
1.06,0.029,2.81%,18 May 2020
1.031,0.005,0.49%,15 May 2020
1.026,-0.013,-1.25%,14 May 2020
1.039,-0.016,-1.52%,13 May 2020
1.055,0.001,0.09%,12 May 2020
1.054,-0.003,-0.28%,11 May 2020
1.057,0.007,0.67%,08 May 2020
1.05,0.006,0.57%,07 May 2020
1.044,-0.002,-0.19%,06 May 2020
1.046,0.018,1.75%,05 May 2020
1.028,-0.006,-0.58%,04 May 2020
1.034,-0.022,-2.08%,01 May 2020
1.056,-0.020,-1.86%,30 Apr 2020
1.076,0.011,1.03%,29 Apr 2020
1.065,0.010,0.95%,28 Apr 2020
1.055,0.019,1.83%,27 Apr 2020
1.036,-0.009,-0.86%,24 Apr 2020
1.045,0.003,0.29%,23 Apr 2020
1.042,0.019,1.86%,22 Apr 2020
1.023,-0.030,-2.85%,21 Apr 2020
1.053,0.008,0.77%,20 Apr 2020
1.045,0.016,1.55%,17 Apr 2020
1.029,0.012,1.18%,16 Apr 2020
1.017,-0.019,-1.83%,15 Apr 2020
1.036,0.021,2.07%,14 Apr 2020
1.015,-0.010,-0.98%,13 Apr 2020
1.025,-0.005,-0.49%,10 Apr 2020
1.03,0.016,1.58%,09 Apr 2020
1.014,-0.007,-0.69%,08 Apr 2020
1.021,0.017,1.69%,07 Apr 2020
1.004,0.037,3.83%,06 Apr 2020
0.967,0.000,0.00%,03 Apr 2020
0.967,0.003,0.31%,02 Apr 2020
0.964,-0.040,-3.98%,01 Apr 2020
1.004,0.007,0.70%,31 Mar 2020
0.997,0.018,1.84%,30 Mar 2020
0.979,-0.018,-1.81%,27 Mar 2020
0.997,0.030,3.10%,26 Mar 2020
0.967,0.032,3.42%,25 Mar 2020
0.935,0.057,6.49%,24 Mar 2020
0.878,-0.031,-3.41%,23 Mar 2020
0.909,-0.008,-0.87%,20 Mar 2020
0.917,0.018,2.00%,19 Mar 2020
0.899,-0.031,-3.33%,18 Mar 2020
0.93,0.023,2.54%,17 Mar 2020
0.907,-0.027,-2.89%,16 Mar 2020
0.934,0.011,1.19%,13 Mar 2020
0.923,-0.090,-8.88%,12 Mar 2020
1.013,-0.007,-0.69%,11 Mar 2020
1.02,-0.011,-1.07%,10 Mar 2020
1.031,-0.057,-5.24%,09 Mar 2020
1.088,-0.039,-3.46%,06 Mar 2020
1.127,-0.004,-0.35%,05 Mar 2020
1.131,0.014,1.25%,04 Mar 2020
1.117,0.012,1.09%,03 Mar 2020
1.105,0.019,1.75%,02 Mar 2020
1.086,-0.046,-4.06%,28 Feb 2020
1.132,-0.028,-2.41%,27 Feb 2020
1.16,0.001,0.09%,26 Feb 2020
1.159,-0.019,-1.61%,25 Feb 2020
1.178,-0.035,-2.89%,24 Feb 2020
1.213,-0.001,-0.08%,21 Feb 2020
1.214,-0.009,-0.74%,20 Feb 2020
1.223,0.010,0.82%,19 Feb 2020
1.213,-0.007,-0.57%,18 Feb 2020
1.22,0.003,0.25%,17 Feb 2020
1.217,0.001,0.08%,14 Feb 2020
1.216,-0.002,-0.16%,13 Feb 2020
1.218,-0.001,-0.08%,12 Feb 2020
1.219,0.008,0.66%,11 Feb 2020
1.211,-0.002,-0.16%,10 Feb 2020
1.213,-0.003,-0.25%,07 Feb 2020
1.216,0.007,0.58%,06 Feb 2020
1.209,0.012,1.00%,05 Feb 2020
1.197,0.016,1.35%,04 Feb 2020
1.181,0.002,0.17%,03 Feb 2020
1.179,-0.007,-0.59%,31 Jan 2020
1.186,-0.011,-0.92%,30 Jan 2020
1.197,0.002,0.17%,29 Jan 2020
1.195,0.009,0.76%,28 Jan 2020
1.186,-0.023,-1.90%,27 Jan 2020
1.209,0.013,1.09%,24 Jan 2020
1.196,-0.005,-0.42%,23 Jan 2020
1.201,0.001,0.08%,22 Jan 2020
1.2,-0.002,-0.17%,21 Jan 2020
1.202,0.000,0.00%,20 Jan 2020
1.202,0.008,0.67%,17 Jan 2020
1.194,0.004,0.34%,16 Jan 2020
1.19,0.004,0.34%,15 Jan 2020
1.186,0.003,0.25%,14 Jan 2020
1.183,0.001,0.08%,13 Jan 2020
1.182,0.002,0.17%,10 Jan 2020
1.18,0.005,0.43%,09 Jan 2020
1.175,0.003,0.26%,08 Jan 2020
1.172,0.000,0.00%,07 Jan 2020
1.172,-0.006,-0.51%,06 Jan 2020
1.178,-0.005,-0.42%,03 Jan 2020
1.183,0.007,0.60%,02 Jan 2020
1.176,-0.003,-0.25%,31 Dec 2019
1.179,-0.009,-0.76%,30 Dec 2019
1.188,0.002,0.17%,27 Dec 2019
1.186,0.002,0.17%,26 Dec 2019
1.184,-0.001,-0.08%,24 Dec 2019
1.185,0.001,0.08%,23 Dec 2019
1.184,0.009,0.77%,20 Dec 2019
1.175,0.002,0.17%,19 Dec 2019
1.173,-0.002,-0.17%,18 Dec 2019
1.175,-0.003,-0.25%,17 Dec 2019
1.178,0.013,1.12%,16 Dec 2019
1.165,0.005,0.43%,13 Dec 2019
1.16,0.006,0.52%,12 Dec 2019
1.154,0.002,0.17%,11 Dec 2019
1.152,0.001,0.09%,10 Dec 2019
1.151,-0.003,-0.26%,09 Dec 2019
1.154,0.013,1.14%,06 Dec 2019
1.141,-0.001,-0.09%,05 Dec 2019
1.142,0.011,0.97%,04 Dec 2019
1.131,-0.009,-0.79%,03 Dec 2019
1.14,-0.016,-1.38%,02 Dec 2019
1.156,-0.003,-0.26%,29 Nov 2019
1.159,-0.001,-0.09%,28 Nov 2019
1.16,0.004,0.35%,27 Nov 2019
1.156,0.002,0.17%,26 Nov 2019
1.154,0.008,0.70%,25 Nov 2019
1.146,0.003,0.26%,22 Nov 2019
1.143,-0.006,-0.52%,21 Nov 2019
1.149,-0.003,-0.26%,20 Nov 2019
1.152,-0.001,-0.09%,19 Nov 2019
1.153,0.003,0.26%,18 Nov 2019
1.15,0.006,0.52%,15 Nov 2019
1.144,-0.006,-0.52%,14 Nov 2019
1.15,-0.001,-0.09%,13 Nov 2019
1.151,0.001,0.09%,12 Nov 2019
1.15,-0.001,-0.09%,11 Nov 2019
1.151,-0.003,-0.26%,08 Nov 2019
