Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
11.99,-0.07,-0.58%,09 Dec 2020
12.06,0.03,0.25%,08 Dec 2020
12.03,0.01,0.08%,07 Dec 2020
12.02,0.04,0.33%,04 Dec 2020
11.98,-0.04,-0.33%,03 Dec 2020
12.02,0.01,0.08%,02 Dec 2020
12.01,0.04,0.33%,01 Dec 2020
11.97,0.01,0.08%,30 Nov 2020
11.96,0.03,0.25%,27 Nov 2020
11.93,-0.02,-0.17%,25 Nov 2020
11.95,0.06,0.50%,24 Nov 2020
11.89,0.03,0.25%,23 Nov 2020
11.86,-0.05,-0.42%,20 Nov 2020
11.91,0.05,0.42%,19 Nov 2020
11.86,-0.08,-0.67%,18 Nov 2020
11.94,-0.05,-0.42%,17 Nov 2020
11.99,0.05,0.42%,16 Nov 2020
11.94,0.06,0.51%,13 Nov 2020
11.88,-0.04,-0.34%,12 Nov 2020
11.92,0.07,0.59%,11 Nov 2020
11.85,-0.04,-0.34%,10 Nov 2020
11.89,0.02,0.17%,09 Nov 2020
11.87,-0.02,-0.17%,06 Nov 2020
11.89,0.07,0.59%,05 Nov 2020
11.82,0.24,2.07%,04 Nov 2020
11.58,0.10,0.87%,03 Nov 2020
11.48,0.07,0.61%,02 Nov 2020
11.41,-0.10,-0.87%,30 Oct 2020
11.51,0.07,0.61%,29 Oct 2020
11.44,-0.22,-1.89%,28 Oct 2020
11.66,-0.01,-0.09%,27 Oct 2020
11.67,-0.11,-0.93%,26 Oct 2020
11.78,0.02,0.17%,23 Oct 2020
11.76,0.04,0.34%,22 Oct 2020
11.72,-0.04,-0.34%,21 Oct 2020
11.76,0.01,0.09%,20 Oct 2020
11.75,-0.14,-1.18%,19 Oct 2020
11.89,0.00,0.00%,16 Oct 2020
11.89,0.00,0.00%,15 Oct 2020
11.89,-0.09,-0.75%,14 Oct 2020
11.98,0.01,0.08%,13 Oct 2020
11.97,0.15,1.27%,12 Oct 2020
11.82,0.04,0.34%,09 Oct 2020
11.78,0.04,0.34%,08 Oct 2020
11.74,0.11,0.95%,07 Oct 2020
11.63,-0.07,-0.60%,06 Oct 2020
11.7,0.07,0.60%,05 Oct 2020
11.63,-0.08,-0.68%,02 Oct 2020
11.71,0.02,0.17%,01 Oct 2020
11.69,0.02,0.17%,30 Sep 2020
11.67,-0.04,-0.34%,29 Sep 2020
11.71,0.06,0.52%,28 Sep 2020
11.65,0.12,1.04%,25 Sep 2020
11.53,0.03,0.26%,24 Sep 2020
11.5,-0.09,-0.78%,23 Sep 2020
11.59,0.10,0.87%,22 Sep 2020
11.49,-0.04,-0.35%,21 Sep 2020
11.53,-0.06,-0.52%,18 Sep 2020
11.59,-0.08,-0.69%,17 Sep 2020
11.67,-0.05,-0.43%,16 Sep 2020
11.72,0.02,0.17%,15 Sep 2020
11.7,0.07,0.60%,14 Sep 2020
11.63,-0.02,-0.17%,11 Sep 2020
11.65,-0.08,-0.68%,10 Sep 2020
11.73,0.13,1.12%,09 Sep 2020
11.6,-0.15,-1.28%,08 Sep 2020
11.75,-0.10,-0.84%,04 Sep 2020
11.85,-0.26,-2.15%,03 Sep 2020
12.11,0.14,1.17%,02 Sep 2020
11.97,0.08,0.67%,01 Sep 2020
11.89,0.00,0.00%,31 Aug 2020
11.89,-0.01,-0.08%,28 Aug 2020
11.9,0.01,0.08%,27 Aug 2020
11.89,0.07,0.59%,26 Aug 2020
11.82,0.01,0.08%,25 Aug 2020
11.81,0.04,0.34%,24 Aug 2020
11.77,0.07,0.60%,21 Aug 2020
11.7,0.01,0.09%,20 Aug 2020
11.69,0.02,0.17%,19 Aug 2020
11.67,0.01,0.09%,18 Aug 2020
11.66,0.02,0.17%,17 Aug 2020
11.64,-0.04,-0.34%,14 Aug 2020
11.68,-0.01,-0.09%,13 Aug 2020
11.69,0.09,0.78%,12 Aug 2020
11.6,-0.06,-0.51%,11 Aug 2020
11.66,0.01,0.09%,10 Aug 2020
11.65,0.03,0.26%,07 Aug 2020
11.62,0.04,0.35%,06 Aug 2020
11.58,0.04,0.35%,05 Aug 2020
11.54,0.00,0.00%,04 Aug 2020
11.54,0.08,0.70%,03 Aug 2020
11.46,0.05,0.44%,31 Jul 2020
11.41,-0.02,-0.17%,30 Jul 2020
11.43,0.04,0.35%,29 Jul 2020
11.39,-0.03,-0.26%,28 Jul 2020
11.42,0.01,0.09%,27 Jul 2020
11.41,-0.09,-0.78%,24 Jul 2020
11.5,-0.09,-0.78%,23 Jul 2020
11.59,0.07,0.61%,22 Jul 2020
11.52,-0.04,-0.35%,21 Jul 2020
