Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
271.87,4.04,1.51%,05 Apr 2024
267.83,-3.68,-1.36%,04 Apr 2024
271.51,0.03,0.01%,03 Apr 2024
271.48,-3.17,-1.15%,02 Apr 2024
274.65,0.39,0.14%,28 Mar 2024
274.26,0.20,0.07%,27 Mar 2024
274.06,-0.88,-0.32%,26 Mar 2024
274.94,-2.16,-0.78%,25 Mar 2024
277.1,0.30,0.11%,22 Mar 2024
276.8,2.55,0.93%,21 Mar 2024
274.25,1.83,0.67%,20 Mar 2024
272.42,2.08,0.77%,19 Mar 2024
270.34,1.95,0.73%,18 Mar 2024
268.39,-2.50,-0.92%,15 Mar 2024
270.89,0.50,0.18%,14 Mar 2024
270.39,-0.46,-0.17%,13 Mar 2024
270.85,5.47,2.06%,12 Mar 2024
265.38,-2.24,-0.84%,11 Mar 2024
267.62,-4.08,-1.50%,08 Mar 2024
271.7,3.62,1.35%,07 Mar 2024
268.08,1.37,0.51%,06 Mar 2024
266.71,-4.56,-1.68%,05 Mar 2024
271.27,-0.12,-0.04%,04 Mar 2024
271.39,2.76,1.03%,01 Mar 2024
268.63,1.83,0.69%,29 Feb 2024
266.8,-0.57,-0.21%,28 Feb 2024
267.37,-0.18,-0.07%,27 Feb 2024
267.55,0.29,0.11%,26 Feb 2024
267.26,0.60,0.23%,23 Feb 2024
266.66,7.81,3.02%,22 Feb 2024
258.85,-0.69,-0.27%,21 Feb 2024
259.54,-2.49,-0.95%,20 Feb 2024
262.03,-2.27,-0.86%,16 Feb 2024
264.3,0.19,0.07%,15 Feb 2024
264.11,2.60,0.99%,14 Feb 2024
261.51,-2.56,-0.97%,13 Feb 2024
264.07,-1.74,-0.65%,12 Feb 2024
265.81,2.12,0.80%,09 Feb 2024
263.69,1.13,0.43%,08 Feb 2024
262.56,3.55,1.37%,07 Feb 2024
259.01,-0.52,-0.20%,06 Feb 2024
259.53,1.06,0.41%,05 Feb 2024
258.47,6.08,2.41%,02 Feb 2024
252.39,2.52,1.01%,01 Feb 2024
249.87,-4.17,-1.64%,31 Jan 2024
254.04,-0.33,-0.13%,30 Jan 2024
254.37,2.91,1.16%,29 Jan 2024
251.46,0.37,0.15%,26 Jan 2024
251.09,0.70,0.28%,25 Jan 2024
250.39,0.40,0.16%,24 Jan 2024
249.99,0.02,0.01%,23 Jan 2024
249.97,1.18,0.47%,22 Jan 2024
248.79,1.95,0.79%,19 Jan 2024
246.84,2.54,1.04%,18 Jan 2024
244.3,-1.01,-0.41%,17 Jan 2024
245.31,1.58,0.65%,16 Jan 2024
243.73,0.22,0.09%,12 Jan 2024
243.51,0.90,0.37%,11 Jan 2024
242.61,3.10,1.29%,10 Jan 2024
239.51,1.36,0.57%,09 Jan 2024
238.15,4.35,1.86%,08 Jan 2024
233.8,0.06,0.03%,05 Jan 2024
233.74,-0.19,-0.08%,04 Jan 2024
233.93,-1.83,-0.78%,03 Jan 2024
235.76,-1.42,-0.60%,02 Jan 2024
237.18,-0.63,-0.26%,29 Dec 2023
237.81,0.39,0.16%,28 Dec 2023
237.42,0.15,0.06%,27 Dec 2023
237.27,-0.30,-0.13%,22 Dec 2023
237.57,1.44,0.61%,21 Dec 2023
236.13,-2.32,-0.97%,20 Dec 2023
238.45,0.12,0.05%,19 Dec 2023
238.33,1.48,0.62%,18 Dec 2023
236.85,1.64,0.70%,15 Dec 2023
235.21,-2.54,-1.07%,14 Dec 2023
237.75,2.07,0.88%,13 Dec 2023
235.68,1.62,0.69%,12 Dec 2023
234.06,1.95,0.84%,11 Dec 2023
232.11,1.70,0.74%,08 Dec 2023
230.41,1.03,0.45%,07 Dec 2023
229.38,-0.83,-0.36%,06 Dec 2023
230.21,1.03,0.45%,05 Dec 2023
229.18,-0.52,-0.23%,04 Dec 2023
229.7,0.06,0.03%,01 Dec 2023
229.64,1.22,0.53%,30 Nov 2023
228.42,0.28,0.12%,29 Nov 2023
228.14,-1.39,-0.61%,28 Nov 2023
229.53,-0.84,-0.36%,27 Nov 2023
230.37,-0.13,-0.06%,24 Nov 2023
230.5,1.62,0.71%,22 Nov 2023
228.88,-0.34,-0.15%,21 Nov 2023
229.22,1.26,0.55%,20 Nov 2023
227.96,-0.76,-0.33%,17 Nov 2023
228.72,0.22,0.10%,16 Nov 2023
228.5,-0.04,-0.02%,15 Nov 2023
228.54,2.19,0.97%,14 Nov 2023
226.35,-0.19,-0.08%,13 Nov 2023
226.54,3.55,1.59%,10 Nov 2023
222.99,-1.64,-0.73%,09 Nov 2023
224.63,1.25,0.56%,08 Nov 2023
223.38,1.98,0.89%,07 Nov 2023
221.4,0.93,0.42%,06 Nov 2023
220.47,0.31,0.14%,03 Nov 2023
220.16,4.99,2.32%,02 Nov 2023
215.17,2.52,1.19%,31 Oct 2023
212.65,1.96,0.93%,30 Oct 2023
210.69,0.16,0.08%,27 Oct 2023
210.53,-4.50,-2.09%,26 Oct 2023
215.03,-3.40,-1.56%,25 Oct 2023
218.43,2.11,0.98%,24 Oct 2023
216.32,-0.30,-0.14%,23 Oct 2023
216.62,-2.75,-1.25%,20 Oct 2023
219.37,-1.21,-0.55%,19 Oct 2023
220.58,-2.25,-1.01%,18 Oct 2023
222.83,-0.43,-0.19%,17 Oct 2023
223.26,2.49,1.13%,16 Oct 2023
220.77,-1.21,-0.55%,13 Oct 2023
221.98,-0.52,-0.23%,12 Oct 2023
222.5,1.15,0.52%,11 Oct 2023
221.35,0.55,0.25%,10 Oct 2023
220.8,0.55,0.25%,09 Oct 2023
220.25,3.40,1.57%,06 Oct 2023
216.85,-0.83,-0.38%,05 Oct 2023
217.68,2.63,1.22%,04 Oct 2023
215.05,-3.73,-1.70%,03 Oct 2023
218.78,2.45,1.13%,02 Oct 2023
216.33,-0.13,-0.06%,29 Sep 2023
216.46,0.57,0.26%,28 Sep 2023
215.89,0.88,0.41%,27 Sep 2023
215.01,-2.30,-1.06%,26 Sep 2023
217.31,0.98,0.45%,25 Sep 2023
216.33,-0.23,-0.11%,22 Sep 2023
216.56,-3.83,-1.74%,21 Sep 2023
220.39,-2.21,-0.99%,20 Sep 2023
222.6,-0.06,-0.03%,19 Sep 2023
222.66,0.29,0.13%,18 Sep 2023
222.37,-3.50,-1.55%,15 Sep 2023
225.87,1.19,0.53%,14 Sep 2023
224.68,0.54,0.24%,13 Sep 2023
224.14,-2.27,-1.00%,12 Sep 2023
226.41,0.68,0.30%,11 Sep 2023
225.73,-0.32,-0.14%,08 Sep 2023
226.05,-0.60,-0.26%,07 Sep 2023
226.65,-0.49,-0.22%,06 Sep 2023
227.14,0.82,0.36%,05 Sep 2023
226.32,0.98,0.43%,01 Sep 2023
225.34,0.45,0.20%,31 Aug 2023
224.89,0.96,0.43%,30 Aug 2023
223.93,2.67,1.21%,29 Aug 2023
221.26,1.25,0.57%,28 Aug 2023
220.01,1.69,0.77%,25 Aug 2023
218.32,-3.13,-1.41%,24 Aug 2023
221.45,1.68,0.76%,23 Aug 2023
219.77,-0.05,-0.02%,22 Aug 2023
219.82,2.32,1.07%,21 Aug 2023
217.5,-0.54,-0.25%,18 Aug 2023
218.04,-2.95,-1.33%,17 Aug 2023
220.99,-2.48,-1.11%,16 Aug 2023
223.47,2.56,1.16%,14 Aug 2023
220.91,0.20,0.09%,11 Aug 2023
220.71,0.76,0.35%,10 Aug 2023
219.95,-1.49,-0.67%,09 Aug 2023
221.44,0.12,0.05%,08 Aug 2023
221.32,2.71,1.24%,07 Aug 2023
218.61,-2.12,-0.96%,04 Aug 2023
220.73,-0.81,-0.37%,03 Aug 2023
221.54,-3.36,-1.49%,02 Aug 2023
224.9,1.17,0.52%,01 Aug 2023
223.73,0.28,0.13%,31 Jul 2023
223.45,2.12,0.96%,28 Jul 2023
221.33,-1.00,-0.45%,27 Jul 2023
