Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
9.9925,-0.0081,-0.08%,02 Jun 2022
10.0006,0.0456,0.46%,01 Jun 2022
9.955,0.0204,0.21%,31 May 2022
9.9346,0.2788,2.89%,30 May 2022
9.6558,-0.1043,-1.07%,27 May 2022
9.7601,0.1356,1.41%,26 May 2022
9.6245,-0.0563,-0.58%,25 May 2022
9.6808,-0.0705,-0.72%,24 May 2022
9.7513,-0.0661,-0.67%,23 May 2022
9.8174,0.1785,1.85%,20 May 2022
9.6389,-0.3089,-3.11%,19 May 2022
9.9478,0.0227,0.23%,18 May 2022
9.9251,0.1638,1.68%,17 May 2022
9.7613,0.0297,0.31%,13 May 2022
9.7316,-0.1547,-1.56%,12 May 2022
9.8863,-0.0700,-0.70%,11 May 2022
9.9563,-0.0298,-0.30%,10 May 2022
9.9861,-0.0542,-0.54%,09 May 2022
10.0403,-0.2128,-2.08%,06 May 2022
10.2531,0.0163,0.16%,05 May 2022
10.2368,-0.2514,-2.40%,04 May 2022
10.4882,-0.1246,-1.17%,29 Apr 2022
10.6128,0.1034,0.98%,28 Apr 2022
10.5094,-0.0365,-0.35%,27 Apr 2022
10.5459,0.1902,1.84%,26 Apr 2022
10.3557,0.0021,0.02%,25 Apr 2022
10.3536,-0.0793,-0.76%,22 Apr 2022
10.4329,0.1048,1.01%,21 Apr 2022
10.3281,0.1685,1.66%,20 Apr 2022
10.1596,-0.3175,-3.03%,19 Apr 2022
10.4771,-0.0102,-0.10%,13 Apr 2022
10.4873,-0.1249,-1.18%,12 Apr 2022
10.6122,0.0070,0.07%,11 Apr 2022
10.6052,0.0625,0.59%,08 Apr 2022
10.5427,0.0101,0.10%,07 Apr 2022
10.5326,-0.0695,-0.66%,06 Apr 2022
10.6021,0.0689,0.65%,05 Apr 2022
10.5332,0.1990,1.93%,04 Apr 2022
10.3342,0.1550,1.52%,01 Apr 2022
10.1792,0.0873,0.87%,31 Mar 2022
10.0919,0.0730,0.73%,30 Mar 2022
10.0189,0.0479,0.48%,29 Mar 2022
9.971,0.0266,0.27%,28 Mar 2022
9.9444,0.0066,0.07%,25 Mar 2022
9.9378,-0.0406,-0.41%,24 Mar 2022
9.9784,-0.0434,-0.43%,23 Mar 2022
10.0218,0.0196,0.20%,22 Mar 2022
10.0022,0.0063,0.06%,21 Mar 2022
9.9959,0.1424,1.45%,16 Mar 2022
9.8535,-0.0658,-0.66%,15 Mar 2022
9.9193,0.1036,1.06%,14 Mar 2022
9.8157,-0.0099,-0.10%,11 Mar 2022
9.8256,0.1166,1.20%,10 Mar 2022
9.709,0.0747,0.78%,09 Mar 2022
9.6343,0.2222,2.36%,08 Mar 2022
9.4121,-0.2999,-3.09%,07 Mar 2022
9.712,-0.1383,-1.40%,04 Mar 2022
9.8503,-0.1109,-1.11%,03 Mar 2022
9.9612,-0.1858,-1.83%,02 Mar 2022
10.147,-0.0261,-0.26%,28 Feb 2022
10.1731,0.2755,2.78%,25 Feb 2022
9.8976,-0.4357,-4.22%,24 Feb 2022
10.3333,0.0338,0.33%,23 Feb 2022
10.2995,-0.0618,-0.60%,22 Feb 2022
10.3613,-0.0672,-0.64%,21 Feb 2022
10.4285,0.0282,0.27%,18 Feb 2022
10.4003,-0.0657,-0.63%,17 Feb 2022
10.466,0.0291,0.28%,16 Feb 2022
10.4369,0.2807,2.76%,15 Feb 2022
10.1562,-0.2903,-2.78%,14 Feb 2022
10.4465,-0.1913,-1.80%,11 Feb 2022
10.6378,0.0086,0.08%,10 Feb 2022
10.6292,0.0644,0.61%,09 Feb 2022
10.5648,-0.0403,-0.38%,08 Feb 2022
10.6051,-0.1700,-1.58%,07 Feb 2022
10.7751,-0.0113,-0.10%,04 Feb 2022
10.7864,0.0702,0.66%,03 Feb 2022
10.7162,0.0978,0.92%,31 Jan 2022
10.6184,0.0491,0.46%,28 Jan 2022
10.5693,-0.0711,-0.67%,27 Jan 2022
10.6404,0.0773,0.73%,25 Jan 2022
10.5631,-0.3225,-2.96%,24 Jan 2022
10.8856,-0.0243,-0.22%,21 Jan 2022
10.9099,-0.1469,-1.33%,20 Jan 2022
11.0568,-0.0318,-0.29%,19 Jan 2022
11.0886,-0.1532,-1.36%,18 Jan 2022
11.2418,0.0268,0.24%,17 Jan 2022
11.215,0.0327,0.29%,14 Jan 2022
11.1823,-0.0148,-0.13%,13 Jan 2022
11.1971,0.0899,0.81%,12 Jan 2022
11.1072,-0.0901,-0.80%,11 Jan 2022
11.1973,0.0989,0.89%,10 Jan 2022
11.0984,0.0392,0.35%,07 Jan 2022
