Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.0829,0.0001,0.01%,11 Oct 2023
1.0828,0.0000,0.00%,10 Oct 2023
1.0828,0.0003,0.03%,09 Oct 2023
1.0825,0.0001,0.01%,06 Oct 2023
1.0824,0.0001,0.01%,05 Oct 2023
1.0823,0.0001,0.01%,04 Oct 2023
1.0822,0.0001,0.01%,03 Oct 2023
1.0821,0.0003,0.03%,02 Oct 2023
1.0818,0.0001,0.01%,29 Sep 2023
1.0817,0.0001,0.01%,28 Sep 2023
1.0816,0.0001,0.01%,27 Sep 2023
1.0815,0.0001,0.01%,26 Sep 2023
1.0814,0.0003,0.03%,25 Sep 2023
1.0811,0.0000,0.00%,22 Sep 2023
1.0811,0.0001,0.01%,21 Sep 2023
1.081,0.0001,0.01%,20 Sep 2023
1.0809,0.0001,0.01%,19 Sep 2023
1.0808,0.0003,0.03%,18 Sep 2023
1.0805,0.0001,0.01%,15 Sep 2023
1.0804,0.0001,0.01%,14 Sep 2023
1.0803,0.0002,0.02%,13 Sep 2023
1.0801,0.0001,0.01%,12 Sep 2023
1.08,0.0003,0.03%,11 Sep 2023
1.0797,0.0001,0.01%,08 Sep 2023
1.0796,0.0001,0.01%,07 Sep 2023
1.0795,0.0001,0.01%,06 Sep 2023
1.0794,0.0001,0.01%,05 Sep 2023
1.0793,0.0004,0.04%,04 Sep 2023
1.0789,0.0001,0.01%,31 Aug 2023
1.0788,0.0001,0.01%,30 Aug 2023
1.0787,0.0000,0.00%,29 Aug 2023
1.0787,0.0005,0.05%,28 Aug 2023
1.0782,0.0002,0.02%,25 Aug 2023
1.078,0.0001,0.01%,24 Aug 2023
1.0779,0.0000,0.00%,23 Aug 2023
1.0779,0.0000,0.00%,22 Aug 2023
1.0779,0.0004,0.04%,21 Aug 2023
1.0775,0.0002,0.02%,18 Aug 2023
1.0773,0.0000,0.00%,17 Aug 2023
1.0773,0.0001,0.01%,16 Aug 2023
1.0772,0.0001,0.01%,15 Aug 2023
1.0771,0.0003,0.03%,14 Aug 2023
1.0768,0.0001,0.01%,11 Aug 2023
1.0767,0.0002,0.02%,10 Aug 2023
1.0765,0.0001,0.01%,08 Aug 2023
1.0764,0.0003,0.03%,07 Aug 2023
1.0761,0.0001,0.01%,04 Aug 2023
1.076,0.0001,0.01%,03 Aug 2023
1.0759,0.0001,0.01%,02 Aug 2023
1.0758,0.0001,0.01%,01 Aug 2023
1.0757,0.0002,0.02%,31 Jul 2023
1.0755,0.0001,0.01%,28 Jul 2023
1.0754,0.0001,0.01%,27 Jul 2023
1.0753,0.0001,0.01%,26 Jul 2023
1.0752,0.0001,0.01%,25 Jul 2023
1.0751,0.0003,0.03%,24 Jul 2023
1.0748,0.0001,0.01%,21 Jul 2023
1.0747,0.0001,0.01%,20 Jul 2023
1.0746,0.0001,0.01%,19 Jul 2023
1.0745,0.0001,0.01%,18 Jul 2023
1.0744,0.0002,0.02%,17 Jul 2023
1.0742,0.0001,0.01%,14 Jul 2023
1.0741,0.0001,0.01%,13 Jul 2023
1.074,0.0001,0.01%,12 Jul 2023
1.0739,0.0001,0.01%,11 Jul 2023
1.0738,0.0002,0.02%,10 Jul 2023
1.0736,0.0000,0.00%,07 Jul 2023
1.0736,0.0002,0.02%,06 Jul 2023
1.0734,0.0001,0.01%,05 Jul 2023
1.0733,0.0000,0.00%,04 Jul 2023
1.0733,0.0003,0.03%,03 Jul 2023
1.073,0.0002,0.02%,30 Jun 2023
1.0728,0.0001,0.01%,28 Jun 2023
1.0727,0.0001,0.01%,27 Jun 2023
1.0726,0.0002,0.02%,26 Jun 2023
1.0724,0.0001,0.01%,23 Jun 2023
1.0723,0.0000,0.00%,22 Jun 2023
1.0723,0.0001,0.01%,21 Jun 2023
1.0722,0.0002,0.02%,20 Jun 2023
1.072,0.0003,0.03%,19 Jun 2023
1.0717,0.0000,0.00%,16 Jun 2023
1.0717,0.0002,0.02%,15 Jun 2023
1.0715,0.0000,0.00%,14 Jun 2023
1.0715,0.0001,0.01%,13 Jun 2023
1.0714,0.0003,0.03%,12 Jun 2023
1.0711,0.0001,0.01%,09 Jun 2023
1.071,0.0000,0.00%,08 Jun 2023
1.071,0.0001,0.01%,07 Jun 2023
1.0709,0.0001,0.01%,06 Jun 2023
1.0708,0.0003,0.03%,05 Jun 2023
1.0705,0.0001,0.01%,01 Jun 2023
1.0704,0.0001,0.01%,31 May 2023
1.0703,0.0000,0.00%,30 May 2023
1.0703,0.0003,0.03%,29 May 2023
1.07,0.0001,0.01%,26 May 2023
1.0699,0.0001,0.01%,25 May 2023
1.0698,0.0001,0.01%,24 May 2023
1.0697,0.0000,0.00%,23 May 2023
1.0697,0.0003,0.03%,22 May 2023
1.0694,0.0001,0.01%,19 May 2023
1.0693,0.0001,0.01%,18 May 2023
1.0692,0.0001,0.01%,17 May 2023
1.0691,0.0000,0.00%,16 May 2023
1.0691,0.0003,0.03%,15 May 2023
1.0688,0.0001,0.01%,12 May 2023
1.0687,0.0001,0.01%,11 May 2023
1.0686,0.0000,0.00%,10 May 2023
1.0686,0.0001,0.01%,09 May 2023
1.0685,0.0004,0.04%,08 May 2023
1.0681,0.0000,0.00%,05 May 2023
1.0681,0.0001,0.01%,04 May 2023
1.068,0.0001,0.01%,03 May 2023
1.0679,0.0004,0.04%,02 May 2023
1.0675,0.0000,0.00%,28 Apr 2023
1.0675,0.0001,0.01%,27 Apr 2023
1.0674,0.0001,0.01%,26 Apr 2023
1.0673,0.0000,0.00%,25 Apr 2023
1.0673,0.0003,0.03%,24 Apr 2023
1.067,0.0001,0.01%,21 Apr 2023
1.0669,0.0000,0.00%,20 Apr 2023
1.0669,0.0001,0.01%,19 Apr 2023
1.0668,0.0001,0.01%,18 Apr 2023
1.0667,0.0002,0.02%,17 Apr 2023
1.0665,0.0001,0.01%,14 Apr 2023
1.0664,0.0001,0.01%,13 Apr 2023
1.0663,0.0000,0.00%,12 Apr 2023
1.0663,0.0001,0.01%,11 Apr 2023
1.0662,0.0003,0.03%,10 Apr 2023
1.0659,0.0001,0.01%,06 Apr 2023
1.0658,0.0002,0.02%,05 Apr 2023
1.0656,0.0000,0.00%,04 Apr 2023
1.0656,0.0001,0.01%,03 Apr 2023
1.0655,0.0001,0.01%,31 Mar 2023
1.0654,0.0001,0.01%,30 Mar 2023
1.0653,-0.0001,-0.01%,29 Mar 2023
1.0654,-0.0001,-0.01%,28 Mar 2023
1.0655,0.0002,0.02%,27 Mar 2023
1.0653,0.0000,0.00%,24 Mar 2023
1.0653,0.0001,0.01%,23 Mar 2023
1.0652,-0.0001,-0.01%,22 Mar 2023
1.0653,0.0000,0.00%,21 Mar 2023
1.0653,0.0001,0.01%,20 Mar 2023
