Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.18,0.002,0.17%,29 Jan 2024
1.178,0.000,0.00%,26 Jan 2024
1.178,0.001,0.08%,25 Jan 2024
1.177,0.004,0.34%,24 Jan 2024
1.173,-0.001,-0.09%,23 Jan 2024
1.174,0.003,0.26%,22 Jan 2024
1.171,0.000,0.00%,19 Jan 2024
1.171,0.001,0.09%,18 Jan 2024
1.17,-0.005,-0.43%,17 Jan 2024
1.175,-0.001,-0.09%,16 Jan 2024
1.176,0.000,0.00%,15 Jan 2024
1.176,0.003,0.26%,12 Jan 2024
1.173,0.001,0.09%,11 Jan 2024
1.172,0.001,0.09%,10 Jan 2024
1.171,0.001,0.09%,09 Jan 2024
1.17,0.000,0.00%,08 Jan 2024
1.17,-0.002,-0.17%,05 Jan 2024
1.172,0.001,0.09%,04 Jan 2024
1.171,-0.002,-0.17%,03 Jan 2024
1.173,-0.002,-0.17%,02 Jan 2024
1.175,0.000,0.00%,29 Dec 2023
1.175,0.002,0.17%,28 Dec 2023
1.173,0.002,0.17%,27 Dec 2023
1.171,0.001,0.09%,26 Dec 2023
1.17,-0.001,-0.09%,22 Dec 2023
1.171,0.000,0.00%,21 Dec 2023
1.171,0.001,0.09%,20 Dec 2023
1.17,0.001,0.09%,19 Dec 2023
1.169,0.000,0.00%,18 Dec 2023
1.169,0.002,0.17%,15 Dec 2023
1.167,0.007,0.60%,14 Dec 2023
1.16,0.000,0.00%,13 Dec 2023
1.16,0.002,0.17%,12 Dec 2023
1.158,0.001,0.09%,11 Dec 2023
1.157,0.001,0.09%,08 Dec 2023
1.156,0.000,0.00%,07 Dec 2023
1.156,0.002,0.17%,06 Dec 2023
1.154,0.000,0.00%,05 Dec 2023
1.154,0.000,0.00%,04 Dec 2023
1.154,0.002,0.17%,01 Dec 2023
1.152,0.000,0.00%,30 Nov 2023
1.152,0.002,0.17%,29 Nov 2023
1.15,0.001,0.09%,28 Nov 2023
1.149,-0.002,-0.17%,27 Nov 2023
1.151,-0.001,-0.09%,24 Nov 2023
1.152,0.000,0.00%,23 Nov 2023
1.152,0.002,0.17%,22 Nov 2023
1.15,0.001,0.09%,21 Nov 2023
1.149,0.001,0.09%,20 Nov 2023
1.148,0.001,0.09%,17 Nov 2023
1.147,0.004,0.35%,16 Nov 2023
1.143,0.007,0.62%,14 Nov 2023
1.136,-0.002,-0.18%,10 Nov 2023
1.138,0.003,0.26%,09 Nov 2023
1.135,0.000,0.00%,08 Nov 2023
1.135,0.000,0.00%,07 Nov 2023
1.135,0.002,0.18%,06 Nov 2023
1.133,0.004,0.35%,03 Nov 2023
1.129,0.008,0.71%,02 Nov 2023
1.121,0.002,0.18%,01 Nov 2023
1.119,0.001,0.09%,31 Oct 2023
1.118,0.000,0.00%,30 Oct 2023
1.118,0.002,0.18%,27 Oct 2023
1.116,-0.005,-0.45%,26 Oct 2023
1.121,0.000,0.00%,25 Oct 2023
1.121,0.001,0.09%,24 Oct 2023
1.12,-0.001,-0.09%,23 Oct 2023
1.121,-0.003,-0.27%,20 Oct 2023
1.124,-0.004,-0.35%,19 Oct 2023
1.128,-0.003,-0.27%,18 Oct 2023
1.131,0.000,0.00%,17 Oct 2023
1.131,-0.001,-0.09%,16 Oct 2023
1.132,-0.004,-0.35%,13 Oct 2023
1.136,0.003,0.26%,12 Oct 2023
1.133,0.002,0.18%,11 Oct 2023
1.131,0.005,0.44%,10 Oct 2023
1.126,0.001,0.09%,09 Oct 2023
1.125,0.003,0.27%,06 Oct 2023
1.122,0.001,0.09%,05 Oct 2023
1.121,-0.003,-0.27%,04 Oct 2023
1.124,-0.005,-0.44%,03 Oct 2023
1.129,0.000,0.00%,02 Oct 2023
1.129,0.002,0.18%,29 Sep 2023
1.127,-0.001,-0.09%,28 Sep 2023
1.128,0.000,0.00%,27 Sep 2023
1.128,-0.004,-0.35%,26 Sep 2023
1.132,-0.002,-0.18%,25 Sep 2023
1.134,0.001,0.09%,22 Sep 2023
1.133,-0.006,-0.53%,21 Sep 2023
1.139,0.000,0.00%,20 Sep 2023
1.139,-0.002,-0.18%,19 Sep 2023
1.141,-0.002,-0.17%,18 Sep 2023
1.143,0.000,0.00%,15 Sep 2023
1.143,0.003,0.26%,14 Sep 2023
1.14,-0.001,-0.09%,13 Sep 2023
1.141,0.000,0.00%,12 Sep 2023
1.141,0.000,0.00%,11 Sep 2023
1.141,0.000,0.00%,08 Sep 2023
1.141,-0.002,-0.17%,07 Sep 2023
1.143,-0.002,-0.17%,06 Sep 2023
1.145,-0.001,-0.09%,05 Sep 2023
1.146,0.003,0.26%,04 Sep 2023
1.143,0.001,0.09%,31 Aug 2023
1.142,0.002,0.18%,30 Aug 2023
1.14,0.004,0.35%,29 Aug 2023
1.136,0.003,0.26%,28 Aug 2023
1.133,-0.003,-0.26%,25 Aug 2023
1.136,0.000,0.00%,24 Aug 2023
1.136,0.002,0.18%,23 Aug 2023
1.134,0.002,0.18%,22 Aug 2023
1.132,-0.002,-0.18%,21 Aug 2023
1.134,-0.003,-0.26%,18 Aug 2023
1.137,-0.003,-0.26%,17 Aug 2023
1.14,-0.003,-0.26%,16 Aug 2023
1.143,-0.003,-0.26%,15 Aug 2023
1.146,-0.001,-0.09%,14 Aug 2023
1.147,-0.005,-0.43%,11 Aug 2023
1.152,0.002,0.17%,10 Aug 2023
1.15,-0.001,-0.09%,08 Aug 2023
1.151,0.001,0.09%,07 Aug 2023
1.15,0.001,0.09%,04 Aug 2023
1.149,-0.002,-0.17%,03 Aug 2023
1.151,-0.005,-0.43%,02 Aug 2023
1.156,0.000,0.00%,01 Aug 2023
1.156,-0.001,-0.09%,31 Jul 2023
1.157,0.002,0.17%,28 Jul 2023
1.155,0.003,0.26%,27 Jul 2023
1.152,-0.001,-0.09%,26 Jul 2023
1.153,0.002,0.17%,25 Jul 2023
1.151,0.000,0.00%,24 Jul 2023
1.151,0.000,0.00%,21 Jul 2023
1.151,-0.002,-0.17%,20 Jul 2023
1.153,0.002,0.17%,19 Jul 2023
1.151,0.001,0.09%,18 Jul 2023
1.15,0.000,0.00%,17 Jul 2023
1.15,0.002,0.17%,14 Jul 2023
1.148,0.005,0.44%,13 Jul 2023
1.143,0.003,0.26%,12 Jul 2023
1.14,0.003,0.26%,11 Jul 2023
1.137,0.000,0.00%,10 Jul 2023
1.137,-0.002,-0.18%,07 Jul 2023
1.139,-0.007,-0.61%,06 Jul 2023
1.146,-0.002,-0.17%,05 Jul 2023
1.148,0.001,0.09%,04 Jul 2023
1.147,0.000,0.00%,03 Jul 2023
1.147,0.001,0.09%,30 Jun 2023
1.146,0.002,0.17%,28 Jun 2023
1.144,-0.001,-0.09%,27 Jun 2023
1.145,0.000,0.00%,26 Jun 2023
1.145,-0.001,-0.09%,23 Jun 2023
1.146,-0.001,-0.09%,22 Jun 2023
1.147,-0.001,-0.09%,21 Jun 2023
1.148,-0.003,-0.26%,20 Jun 2023
1.151,-0.002,-0.17%,19 Jun 2023
1.153,0.003,0.26%,16 Jun 2023
1.15,0.002,0.17%,15 Jun 2023
1.148,0.001,0.09%,14 Jun 2023
1.147,0.005,0.44%,13 Jun 2023
1.142,0.000,0.00%,12 Jun 2023
1.142,0.002,0.18%,09 Jun 2023
1.14,0.000,0.00%,08 Jun 2023
1.14,0.000,0.00%,07 Jun 2023
1.14,0.000,0.00%,06 Jun 2023
1.14,0.007,0.62%,05 Jun 2023
1.133,0.001,0.09%,01 Jun 2023
1.132,-0.002,-0.18%,31 May 2023
1.134,0.001,0.09%,30 May 2023
1.133,0.001,0.09%,29 May 2023
1.132,0.003,0.27%,26 May 2023
1.129,0.000,0.00%,25 May 2023
1.129,-0.004,-0.35%,24 May 2023
1.133,-0.004,-0.35%,23 May 2023
1.137,0.000,0.00%,22 May 2023
1.137,0.000,0.00%,19 May 2023
1.137,0.002,0.18%,18 May 2023
1.135,-0.001,-0.09%,17 May 2023
1.136,0.000,0.00%,16 May 2023
1.136,0.001,0.09%,15 May 2023
1.135,0.000,0.00%,12 May 2023
1.135,0.002,0.18%,11 May 2023
1.133,-0.001,-0.09%,10 May 2023
1.134,-0.002,-0.18%,09 May 2023
1.136,0.000,0.00%,08 May 2023
1.136,0.002,0.18%,05 May 2023
1.134,-0.001,-0.09%,04 May 2023
1.135,0.001,0.09%,03 May 2023
1.134,-0.003,-0.26%,02 May 2023
1.137,0.002,0.18%,28 Apr 2023
1.135,0.002,0.18%,27 Apr 2023
1.133,-0.001,-0.09%,26 Apr 2023
1.134,-0.001,-0.09%,25 Apr 2023
1.135,-0.001,-0.09%,24 Apr 2023
1.136,0.000,0.00%,21 Apr 2023
1.136,-0.001,-0.09%,20 Apr 2023
1.137,-0.001,-0.09%,19 Apr 2023
1.138,0.000,0.00%,18 Apr 2023
1.138,0.000,0.00%,17 Apr 2023
1.138,0.002,0.18%,14 Apr 2023
1.136,0.001,0.09%,13 Apr 2023
1.135,-0.001,-0.09%,12 Apr 2023
1.136,0.003,0.26%,11 Apr 2023
1.133,-0.001,-0.09%,10 Apr 2023
1.134,0.001,0.09%,06 Apr 2023
1.133,0.000,0.00%,05 Apr 2023
1.133,0.001,0.09%,04 Apr 2023
1.132,0.002,0.18%,03 Apr 2023
1.13,0.004,0.36%,31 Mar 2023
