Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
9.2325,-0.0010,-0.01%,11 Aug 2023
9.2335,0.0033,0.04%,10 Aug 2023
9.2302,0.0010,0.01%,09 Aug 2023
9.2292,0.0000,0.00%,08 Aug 2023
9.2292,0.0051,0.06%,07 Aug 2023
9.2241,-0.0002,0.00%,04 Aug 2023
9.2243,-0.0037,-0.04%,03 Aug 2023
9.228,-0.0023,-0.02%,02 Aug 2023
9.2303,0.0026,0.03%,01 Aug 2023
9.2277,0.0056,0.06%,31 Jul 2023
9.2221,0.0049,0.05%,28 Jul 2023
9.2172,0.0018,0.02%,27 Jul 2023
9.2154,0.0074,0.08%,26 Jul 2023
9.208,0.0045,0.05%,25 Jul 2023
9.2035,-0.0020,-0.02%,24 Jul 2023
9.2055,0.0009,0.01%,21 Jul 2023
9.2046,0.0046,0.05%,20 Jul 2023
9.2,-0.0011,-0.01%,19 Jul 2023
9.2011,-0.0044,-0.05%,18 Jul 2023
9.2055,-0.0409,-0.44%,17 Jul 2023
9.2464,0.0105,0.11%,14 Jul 2023
9.2359,0.0038,0.04%,13 Jul 2023
9.2321,0.0113,0.12%,12 Jul 2023
9.2208,-0.0011,-0.01%,11 Jul 2023
9.2219,0.0082,0.09%,10 Jul 2023
9.2137,-0.0024,-0.03%,07 Jul 2023
9.2161,0.0050,0.05%,06 Jul 2023
9.2111,0.0038,0.04%,05 Jul 2023
9.2073,0.0083,0.09%,03 Jul 2023
9.199,0.0008,0.01%,30 Jun 2023
9.1982,0.0019,0.02%,29 Jun 2023
9.1963,0.0023,0.03%,28 Jun 2023
9.194,0.0062,0.07%,27 Jun 2023
9.1878,-0.0032,-0.03%,26 Jun 2023
9.191,-0.0012,-0.01%,22 Jun 2023
9.1922,-0.0012,-0.01%,21 Jun 2023
9.1934,0.0031,0.03%,20 Jun 2023
9.1903,0.0098,0.11%,16 Jun 2023
9.1805,-0.0376,-0.41%,15 Jun 2023
9.2181,0.0081,0.09%,14 Jun 2023
9.21,0.0028,0.03%,13 Jun 2023
9.2072,0.0024,0.03%,12 Jun 2023
9.2048,0.0044,0.05%,09 Jun 2023
9.2004,0.0083,0.09%,08 Jun 2023
9.1921,0.0027,0.03%,07 Jun 2023
9.1894,-0.0003,0.00%,06 Jun 2023
9.1897,0.0135,0.15%,05 Jun 2023
9.1762,0.0030,0.03%,02 Jun 2023
9.1732,0.0015,0.02%,01 Jun 2023
9.1717,0.0036,0.04%,31 May 2023
9.1681,0.0092,0.10%,30 May 2023
9.1589,0.0107,0.12%,26 May 2023
9.1482,-0.0017,-0.02%,25 May 2023
9.1499,-0.0023,-0.03%,24 May 2023
9.1522,0.0049,0.05%,23 May 2023
9.1473,0.0044,0.05%,22 May 2023
9.1429,0.0083,0.09%,19 May 2023
9.1346,0.0010,0.01%,17 May 2023
9.1336,0.0001,0.00%,16 May 2023
9.1335,-0.0436,-0.48%,15 May 2023
9.1771,0.0038,0.04%,12 May 2023
9.1733,0.0058,0.06%,11 May 2023
9.1675,0.0043,0.05%,10 May 2023
9.1632,-0.0153,-0.17%,05 May 2023
9.1785,0.0031,0.03%,04 May 2023
9.1754,-0.0038,-0.04%,03 May 2023
9.1792,0.0049,0.05%,02 May 2023
9.1743,0.0094,0.10%,28 Apr 2023
9.1649,-0.0042,-0.05%,27 Apr 2023
9.1691,-0.0070,-0.08%,26 Apr 2023
9.1761,-0.0010,-0.01%,25 Apr 2023
9.1771,0.0067,0.07%,24 Apr 2023
9.1704,0.0005,0.01%,21 Apr 2023
9.1699,-0.0045,-0.05%,20 Apr 2023
9.1744,0.0027,0.03%,19 Apr 2023
9.1717,0.0044,0.05%,18 Apr 2023
9.1673,-0.0297,-0.32%,17 Apr 2023
9.197,0.0036,0.04%,14 Apr 2023
9.1934,-0.0012,-0.01%,13 Apr 2023
9.1946,0.0059,0.06%,12 Apr 2023
9.1887,0.0083,0.09%,11 Apr 2023
9.1804,-0.0049,-0.05%,06 Apr 2023
9.1853,-0.0001,0.00%,05 Apr 2023
9.1854,0.0058,0.06%,04 Apr 2023
9.1796,0.0143,0.16%,03 Apr 2023
9.1653,0.0068,0.07%,31 Mar 2023
9.1585,0.0124,0.14%,30 Mar 2023
9.1461,0.0039,0.04%,29 Mar 2023
9.1422,-0.0005,-0.01%,28 Mar 2023
9.1427,-0.0099,-0.11%,27 Mar 2023
9.1526,-0.0099,-0.11%,24 Mar 2023
9.1625,0.0125,0.14%,23 Mar 2023
9.15,0.0200,0.22%,22 Mar 2023
9.13,0.0100,0.11%,21 Mar 2023
9.12,-0.0300,-0.33%,20 Mar 2023
9.15,-0.0100,-0.11%,17 Mar 2023
9.16,-0.0300,-0.33%,16 Mar 2023
9.19,-0.0400,-0.43%,15 Mar 2023
9.23,-0.0200,-0.22%,14 Mar 2023
9.25,-0.0200,-0.22%,13 Mar 2023
9.27,-0.0100,-0.11%,10 Mar 2023
9.28,0.0200,0.22%,09 Mar 2023
9.26,-0.0200,-0.22%,08 Mar 2023
9.28,0.0000,0.00%,07 Mar 2023
9.28,0.0100,0.11%,06 Mar 2023
9.27,0.0000,0.00%,03 Mar 2023
9.27,0.0000,0.00%,02 Mar 2023
9.27,0.0000,0.00%,01 Mar 2023
9.27,0.0100,0.11%,28 Feb 2023
9.26,-0.0100,-0.11%,27 Feb 2023
9.27,0.0100,0.11%,24 Feb 2023
9.26,0.0000,0.00%,23 Feb 2023
9.26,-0.0100,-0.11%,22 Feb 2023
9.27,0.0100,0.11%,21 Feb 2023
9.26,0.0000,0.00%,17 Feb 2023
9.26,0.0000,0.00%,16 Feb 2023
9.26,-0.0400,-0.43%,15 Feb 2023
9.3,0.0000,0.00%,14 Feb 2023
9.3,0.0000,0.00%,13 Feb 2023
9.3,0.0000,0.00%,10 Feb 2023
9.3,0.0000,0.00%,09 Feb 2023
9.3,0.0100,0.11%,08 Feb 2023
9.29,0.0000,0.00%,07 Feb 2023
9.29,0.0000,0.00%,06 Feb 2023
9.29,0.0100,0.11%,03 Feb 2023
9.28,0.0100,0.11%,02 Feb 2023
9.27,0.0100,0.11%,01 Feb 2023
9.26,0.0000,0.00%,31 Jan 2023
9.26,0.0100,0.11%,30 Jan 2023
9.25,0.0100,0.11%,27 Jan 2023
9.24,0.0100,0.11%,26 Jan 2023
9.23,0.0100,0.11%,25 Jan 2023
9.22,0.0000,0.00%,24 Jan 2023
9.22,0.0100,0.11%,23 Jan 2023
9.21,0.0000,0.00%,20 Jan 2023
9.21,0.0100,0.11%,19 Jan 2023
9.2,0.0100,0.11%,18 Jan 2023
9.19,-0.0400,-0.43%,17 Jan 2023
9.23,0.0100,0.11%,13 Jan 2023
9.22,0.0100,0.11%,12 Jan 2023
9.21,0.0000,0.00%,11 Jan 2023
9.21,0.0100,0.11%,10 Jan 2023
9.2,0.0100,0.11%,09 Jan 2023
9.19,0.0000,0.00%,06 Jan 2023
9.19,0.0100,0.11%,05 Jan 2023
9.18,0.0000,0.00%,04 Jan 2023
9.18,0.0000,0.00%,03 Jan 2023
9.18,0.0100,0.11%,30 Dec 2022
9.17,0.0000,0.00%,29 Dec 2022
9.17,0.0100,0.11%,28 Dec 2022
9.16,0.0000,0.00%,23 Dec 2022
9.16,0.0100,0.11%,22 Dec 2022
9.15,0.0000,0.00%,21 Dec 2022
9.15,0.0000,0.00%,20 Dec 2022
9.15,0.0000,0.00%,19 Dec 2022
9.15,0.0000,0.00%,16 Dec 2022
9.15,-0.0400,-0.44%,15 Dec 2022
9.19,0.0100,0.11%,14 Dec 2022
9.18,0.0100,0.11%,13 Dec 2022
9.17,0.0000,0.00%,12 Dec 2022
