Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
77.74,-0.38,-0.49%,2023-09-22
78.12,-2.59,-3.21%,2023-09-21
80.71,0.74,0.93%,2023-09-20
79.97,-1.07,-1.32%,2023-09-19
81.04,-0.60,-0.73%,2023-09-18
81.64,-0.76,-0.92%,2023-09-15
82.4,-0.10,-0.12%,2023-09-14
82.5,-1.11,-1.33%,2023-09-13
83.61,0.61,0.73%,2023-09-12
83.0,0.65,0.79%,2023-09-11
82.35,-1.87,-2.22%,2023-09-07
84.22,1.25,1.51%,2023-09-06
82.97,0.18,0.22%,2023-09-05
82.79,1.77,2.18%,2023-08-31
81.02,1.61,2.03%,2023-08-30
79.41,0.32,0.40%,2023-08-29
79.09,0.75,0.96%,2023-08-28
78.34,-1.66,-2.07%,2023-08-25
80.0,0.79,1.00%,2023-08-24
79.21,0.34,0.43%,2023-08-23
78.87,0.47,0.60%,2023-08-22
78.4,2.08,2.73%,2023-08-21
76.32,-1.76,-2.25%,2023-08-18
78.08,-1.40,-1.76%,2023-08-17
79.48,-0.52,-0.65%,2023-08-16
80.0,0.59,0.74%,2023-08-15
79.41,0.35,0.44%,2023-08-14
79.06,-1.72,-2.13%,2023-08-11
80.78,0.75,0.94%,2023-08-10
80.03,-0.73,-0.90%,2023-08-09
80.76,-0.36,-0.44%,2023-08-08
81.12,-0.30,-0.37%,2023-08-07
81.42,0.16,0.20%,2023-08-04
81.26,-1.39,-1.68%,2023-08-03
82.65,-0.74,-0.89%,2023-08-02
83.39,-0.35,-0.42%,2023-08-01
83.74,0.79,0.95%,2023-07-31
82.95,-0.25,-0.30%,2023-07-28
83.2,1.59,1.95%,2023-07-27
81.61,-0.29,-0.35%,2023-07-26
81.9,1.26,1.56%,2023-07-25
80.64,-1.00,-1.22%,2023-07-24
81.64,-1.07,-1.29%,2023-07-21
82.71,-1.95,-2.30%,2023-07-20
84.66,1.65,1.99%,2023-07-19
83.01,0.00,0.00%,2023-07-18
83.01,0.92,1.12%,2023-07-14
82.09,0.86,1.06%,2023-07-13
81.23,1.10,1.37%,2023-07-12
80.13,0.77,0.97%,2023-07-11
79.36,-0.98,-1.22%,2023-07-10
80.34,0.82,1.03%,2023-07-07
79.52,-1.53,-1.89%,2023-07-06
81.05,-0.04,-0.05%,2023-07-05
81.09,-0.03,-0.04%,2023-07-03
81.12,0.85,1.06%,2023-06-30
80.27,-0.02,-0.02%,2023-06-29
80.29,1.87,2.38%,2023-06-28
78.42,-1.60,-2.00%,2023-06-27
80.02,1.31,1.66%,2023-06-26
78.71,-0.73,-0.92%,2023-06-23
79.44,-0.62,-0.77%,2023-06-21
80.06,-0.27,-0.34%,2023-06-20
80.33,0.75,0.94%,2023-06-16
79.58,0.09,0.11%,2023-06-15
79.49,0.19,0.24%,2023-06-14
79.3,1.14,1.46%,2023-06-13
78.16,-0.01,-0.01%,2023-06-12
78.17,2.19,2.88%,2023-06-09
75.98,-2.29,-2.93%,2023-06-08
78.27,0.21,0.27%,2023-06-07
78.06,0.96,1.25%,2023-06-06
77.1,1.60,2.12%,2023-06-05
75.5,0.00,0.00%,2023-06-02
75.5,-0.72,-0.94%,2023-06-01
76.22,-0.09,-0.12%,2023-05-31
76.31,3.94,5.44%,2023-05-30
72.37,2.17,3.09%,2023-05-25
70.2,-1.63,-2.27%,2023-05-24
71.83,-0.14,-0.19%,2023-05-23
71.97,0.44,0.62%,2023-05-22
71.53,0.92,1.30%,2023-05-19
70.61,2.49,3.66%,2023-05-18
68.12,0.31,0.46%,2023-05-17
67.81,0.95,1.42%,2023-05-16
66.86,-0.29,-0.43%,2023-05-15
67.15,0.66,0.99%,2023-05-12
66.49,0.26,0.39%,2023-05-11
66.23,0.61,0.93%,2023-05-10
65.62,0.62,0.95%,2023-05-09
65.0,0.48,0.74%,2023-05-08
64.52,0.24,0.37%,2023-05-05
64.28,-0.09,-0.14%,2023-05-04
64.37,-0.84,-1.29%,2023-05-03
65.21,1.19,1.86%,2023-05-02
64.02,-0.45,-0.70%,2023-05-01
64.47,0.45,0.70%,2023-04-28
64.02,0.03,0.05%,2023-04-27
63.99,-0.29,-0.45%,2023-04-26
64.28,-1.22,-1.86%,2023-04-25
65.5,0.43,0.66%,2023-04-24
65.07,-0.37,-0.57%,2023-04-21
65.44,-0.06,-0.09%,2023-04-20
65.5,-1.01,-1.52%,2023-04-19
66.51,0.68,1.03%,2023-04-18
65.83,-0.23,-0.35%,2023-04-17
66.06,1.02,1.57%,2023-04-14
65.04,-0.35,-0.54%,2023-04-13
65.39,-0.35,-0.53%,2023-04-12
65.74,1.31,2.03%,2023-04-11
64.43,-2.64,-3.94%,2023-04-06
67.07,0.14,0.21%,2023-04-04
66.93,0.12,0.18%,2023-04-03
66.81,0.46,0.69%,2023-03-31
66.35,1.22,1.87%,2023-03-30
65.13,1.23,1.92%,2023-03-29
63.9,-1.36,-2.08%,2023-03-28
65.26,0.61,0.94%,2023-03-27
64.65,-1.22,-1.85%,2023-03-24
65.87,0.60,0.92%,2023-03-23
65.27,0.60,0.93%,2023-03-22
64.67,0.43,0.67%,2023-03-21
64.24,-0.02,-0.03%,2023-03-20
64.26,0.04,0.06%,2023-03-17
64.22,1.43,2.28%,2023-03-16
62.79,-0.35,-0.55%,2023-03-15
63.14,1.41,2.28%,2023-03-14
61.73,-0.28,-0.45%,2023-03-13
62.01,-3.54,-5.40%,2023-03-10
65.55,0.67,1.03%,2023-03-09
64.88,-0.49,-0.75%,2023-03-08
65.37,-0.35,-0.53%,2023-03-07
65.72,0.83,1.28%,2023-03-06
64.89,1.75,2.77%,2023-03-03
63.14,-0.56,-0.88%,2023-03-02
63.7,-0.13,-0.20%,2023-03-01
63.83,-0.03,-0.05%,2023-02-28
63.86,0.82,1.30%,2023-02-27
