Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
12.68,-0.05,-0.39%,30 Jul 2019
12.73,-0.04,-0.31%,29 Jul 2019
12.77,-0.01,-0.08%,26 Jul 2019
12.78,-0.04,-0.31%,25 Jul 2019
12.82,0.00,0.00%,24 Jul 2019
12.82,0.04,0.31%,23 Jul 2019
12.78,0.00,0.00%,22 Jul 2019
12.78,0.00,0.00%,19 Jul 2019
12.78,0.03,0.24%,18 Jul 2019
12.75,0.00,0.00%,17 Jul 2019
12.75,-0.02,-0.16%,16 Jul 2019
12.77,0.05,0.39%,15 Jul 2019
12.72,0.01,0.08%,12 Jul 2019
12.71,0.03,0.24%,11 Jul 2019
12.68,0.05,0.40%,10 Jul 2019
12.63,-0.03,-0.24%,09 Jul 2019
12.66,-0.12,-0.94%,08 Jul 2019
12.78,-0.02,-0.16%,05 Jul 2019
12.8,-0.02,-0.16%,03 Jul 2019
12.82,0.02,0.16%,02 Jul 2019
12.8,0.12,0.95%,01 Jul 2019
12.68,-0.04,-0.31%,28 Jun 2019
12.72,0.09,0.71%,27 Jun 2019
12.63,0.06,0.48%,26 Jun 2019
12.57,-0.08,-0.63%,25 Jun 2019
12.65,0.00,0.00%,24 Jun 2019
12.65,-0.06,-0.47%,21 Jun 2019
12.71,0.16,1.27%,20 Jun 2019
12.55,0.12,0.97%,19 Jun 2019
12.43,0.17,1.39%,18 Jun 2019
12.26,-0.02,-0.16%,17 Jun 2019
12.28,-0.07,-0.57%,14 Jun 2019
12.35,-0.01,-0.08%,13 Jun 2019
12.36,-0.04,-0.32%,12 Jun 2019
12.4,0.17,1.39%,11 Jun 2019
12.23,0.07,0.58%,07 Jun 2019
12.16,0.04,0.33%,06 Jun 2019
12.12,-0.06,-0.49%,05 Jun 2019
12.18,0.06,0.50%,04 Jun 2019
12.12,0.04,0.33%,03 Jun 2019
12.08,0.03,0.25%,31 May 2019
12.05,0.03,0.25%,29 May 2019
12.02,-0.01,-0.08%,28 May 2019
12.03,0.03,0.25%,24 May 2019
12.0,-0.15,-1.23%,23 May 2019
12.15,0.02,0.16%,22 May 2019
12.13,0.09,0.75%,21 May 2019
12.04,0.02,0.17%,20 May 2019
12.02,-0.15,-1.23%,17 May 2019
12.17,-0.04,-0.33%,16 May 2019
12.21,0.03,0.25%,15 May 2019
12.18,0.08,0.66%,14 May 2019
12.1,-0.26,-2.10%,13 May 2019
12.36,-0.10,-0.80%,10 May 2019
12.46,-0.02,-0.16%,08 May 2019
12.48,-0.13,-1.03%,07 May 2019
12.61,-0.18,-1.41%,06 May 2019
12.79,0.10,0.79%,03 May 2019
12.69,-0.04,-0.31%,02 May 2019
12.73,-0.06,-0.47%,30 Apr 2019
12.79,0.03,0.24%,29 Apr 2019
12.76,0.02,0.16%,26 Apr 2019
12.74,-0.07,-0.55%,25 Apr 2019
12.81,-0.11,-0.85%,24 Apr 2019
12.92,-0.05,-0.39%,23 Apr 2019
12.97,-0.02,-0.15%,18 Apr 2019
12.99,0.02,0.15%,17 Apr 2019
12.97,0.07,0.54%,16 Apr 2019
12.9,-0.03,-0.23%,15 Apr 2019
12.93,0.02,0.15%,12 Apr 2019
12.91,-0.14,-1.07%,11 Apr 2019
13.05,0.05,0.38%,10 Apr 2019
13.0,-0.05,-0.38%,09 Apr 2019
13.05,0.01,0.08%,08 Apr 2019
13.04,0.06,0.46%,05 Apr 2019
12.98,0.06,0.46%,04 Apr 2019
12.92,0.05,0.39%,03 Apr 2019
12.87,0.01,0.08%,02 Apr 2019
12.86,0.14,1.10%,01 Apr 2019
12.72,0.07,0.55%,29 Mar 2019
12.65,0.03,0.24%,28 Mar 2019
12.62,-0.08,-0.63%,27 Mar 2019
12.7,0.00,0.00%,26 Mar 2019
12.7,0.04,0.32%,25 Mar 2019
12.66,-0.29,-2.24%,22 Mar 2019
12.95,0.05,0.39%,21 Mar 2019
12.9,0.01,0.08%,20 Mar 2019
12.89,-0.05,-0.39%,19 Mar 2019
12.94,0.16,1.25%,18 Mar 2019
12.78,0.13,1.03%,15 Mar 2019
12.65,-0.04,-0.32%,14 Mar 2019
12.69,0.01,0.08%,13 Mar 2019
12.68,0.03,0.24%,12 Mar 2019
12.65,0.18,1.44%,11 Mar 2019
12.47,-0.09,-0.72%,08 Mar 2019
12.56,-0.15,-1.18%,07 Mar 2019
12.71,-0.04,-0.31%,06 Mar 2019
12.75,0.06,0.47%,05 Mar 2019
12.69,0.02,0.16%,04 Mar 2019
12.67,0.00,0.00%,01 Mar 2019
12.67,-0.15,-1.17%,28 Feb 2019
12.82,-0.07,-0.54%,27 Feb 2019
12.89,-0.01,-0.08%,26 Feb 2019
12.9,0.10,0.78%,25 Feb 2019
12.8,0.14,1.11%,22 Feb 2019
12.66,-0.02,-0.16%,21 Feb 2019
12.68,0.04,0.32%,20 Feb 2019
12.64,0.04,0.32%,19 Feb 2019
12.6,-0.03,-0.24%,15 Feb 2019
12.63,0.03,0.24%,14 Feb 2019
12.6,-0.02,-0.16%,13 Feb 2019
12.62,0.08,0.64%,12 Feb 2019
12.54,-0.05,-0.40%,11 Feb 2019
12.59,-0.02,-0.16%,08 Feb 2019
12.61,-0.10,-0.79%,07 Feb 2019
12.71,-0.06,-0.47%,06 Feb 2019
12.77,0.07,0.55%,05 Feb 2019
12.7,-0.01,-0.08%,04 Feb 2019
12.71,-0.04,-0.31%,01 Feb 2019
12.75,0.07,0.55%,31 Jan 2019
12.68,0.19,1.52%,30 Jan 2019
12.49,0.06,0.48%,29 Jan 2019
12.43,-0.08,-0.64%,28 Jan 2019
12.51,0.10,0.81%,25 Jan 2019
12.41,0.12,0.98%,24 Jan 2019
12.29,0.11,0.90%,23 Jan 2019
12.18,-0.14,-1.14%,22 Jan 2019
12.32,0.06,0.49%,18 Jan 2019
12.26,0.05,0.41%,17 Jan 2019
12.21,0.08,0.66%,16 Jan 2019
12.13,0.11,0.92%,15 Jan 2019
12.02,-0.05,-0.41%,14 Jan 2019
12.07,0.00,0.00%,11 Jan 2019
12.07,0.03,0.25%,10 Jan 2019
12.04,0.16,1.35%,09 Jan 2019
11.88,0.02,0.17%,08 Jan 2019
11.86,0.06,0.51%,07 Jan 2019
11.8,0.23,1.99%,04 Jan 2019
11.57,-0.10,-0.86%,03 Jan 2019
11.67,-0.01,-0.09%,02 Jan 2019
11.68,-0.02,-0.17%,31 Dec 2018
11.7,0.02,0.17%,28 Dec 2018
11.68,0.12,1.04%,27 Dec 2018
11.56,-0.02,-0.17%,24 Dec 2018
11.58,-0.09,-0.77%,21 Dec 2018
11.67,-0.01,-0.09%,20 Dec 2018
11.68,-0.09,-0.76%,19 Dec 2018
11.77,0.06,0.51%,18 Dec 2018
11.71,-0.09,-0.76%,17 Dec 2018
11.8,-0.10,-0.84%,14 Dec 2018
11.9,0.04,0.34%,13 Dec 2018
11.86,0.08,0.68%,12 Dec 2018
11.78,-0.01,-0.08%,11 Dec 2018
11.79,-0.06,-0.51%,10 Dec 2018
11.85,-0.07,-0.59%,07 Dec 2018
11.92,-0.11,-0.91%,06 Dec 2018
12.03,-0.16,-1.31%,04 Dec 2018
12.19,0.17,1.41%,03 Dec 2018
12.02,-0.05,-0.41%,30 Nov 2018
12.07,0.00,0.00%,29 Nov 2018
12.07,0.14,1.17%,28 Nov 2018
11.93,0.02,0.17%,27 Nov 2018
11.91,0.03,0.25%,26 Nov 2018
11.88,-0.09,-0.75%,23 Nov 2018
11.97,0.09,0.76%,21 Nov 2018
11.88,-0.14,-1.16%,20 Nov 2018
12.02,-0.07,-0.58%,19 Nov 2018
12.09,0.02,0.17%,16 Nov 2018
12.07,0.15,1.26%,15 Nov 2018
11.92,-0.01,-0.08%,14 Nov 2018
11.93,0.02,0.17%,13 Nov 2018
11.91,-0.07,-0.58%,12 Nov 2018
11.98,-0.12,-0.99%,09 Nov 2018
12.1,-0.11,-0.90%,08 Nov 2018
12.21,0.05,0.41%,07 Nov 2018
12.16,0.00,0.00%,06 Nov 2018
12.16,0.05,0.41%,05 Nov 2018
12.11,0.19,1.59%,02 Nov 2018
11.92,0.06,0.51%,31 Oct 2018
